document,title,document_ru,document_type,source,document_length,question,correct_answer,question_ru,answer_ru,is_test_case,question_length,question_type,answer,answer_length,answer_to_document_ratio
"In an increasingly digitalized world, verifying the authenticity of ID
documents has become a critical challenge for real-life applications such as
digital banking, crypto-exchanges, renting, etc. This study focuses on the
topic of fake ID detection, covering several limitations in the field. In
particular, no publicly available data from real ID documents exists, and most
studies rely on proprietary in-house databases that are not available due to
privacy reasons. In order to shed some light on this critical challenge that
makes difficult to advance in the field, we explore a trade-off between privacy
(i.e., amount of sensitive data available) and performance, proposing a novel
patch-wise approach for privacy-preserving fake ID detection. Our proposed
approach explores how privacy can be enhanced through: i) two levels of
anonymization for an ID document (i.e., fully- and pseudo-anonymized), and ii)
different patch size configurations, varying the amount of sensitive data
visible in the patch image. Also, state-of-the-art methods such as Vision
Transformers and Foundation Models are considered in the analysis. The
experimental framework shows that, on an unseen database (DLC-2021), our
proposal achieves 13.91% and 0% EERs at patch and ID document level, showing a
good generalization to other databases. In addition to this exploration,
another key contribution of our study is the release of the first publicly
available database that contains 48,400 patches from both real and fake ID
documents, along with the experimental framework and models, which will be
available in our GitHub.",Exploring a Patch-Wise Approach for Privacy-Preserving Fake ID Detection,,scientific,arXiv_new,1607,,,,,,,,,0,0.0
"5067 км²
 942 832 чел. (2006)
 Исмаили́я (Эль-Исмаили́я) (араб. الإسماعيلية‎) — мухафаза в Арабской Республике Египет. Административный центр — город Исмаилия. Расположена на северо-востоке страны, в восточной части дельты Нила, к востоку от мухафазы Шаркия, к западу от мухафазы Северный Синай и к северу от мухафазы Суэц.
",Исмаилия (мухафаза),"5067 км²
 942 832 чел. (2006)
 Исмаили́я (Эль-Исмаили́я) (араб. الإسماعيلية‎) — мухафаза в Арабской Республике Египет. Административный центр — город Исмаилия. Расположена на северо-востоке страны, в восточной части дельты Нила, к востоку от мухафазы Шаркия, к западу от мухафазы Северный Синай и к северу от мухафазы Суэц.
",wikipedia,Wikipedia_new,324,,,,,,,,,0,0.0
"Парламентские выборы на Барбадосе прошли 7 декабря 1956 года[1]. В результате победу одержала Барбадосская лейбористская партия, которая получила 15 из 24 мест парламента. Выборы проходили по непропорциональной избирательной системе с 12 двухмандатными избирательными округами, на которых каждый избиратель имел два голоса[2]. Явка избирателей составила 60,3 %[1].
 Хотя Прогрессивно-консервативная партия получила больше голосов, чем вновь сформированная Демократическая лейбористская партия, она выиграла меньшее количество мест как следствие непропорциональной избирательной системы.
",Парламентские выборы на Барбадосе (1956),"Парламентские выборы на Барбадосе прошли 7 декабря 1956 года[1]. В результате победу одержала Барбадосская лейбористская партия, которая получила 15 из 24 мест парламента. Выборы проходили по непропорциональной избирательной системе с 12 двухмандатными избирательными округами, на которых каждый избиратель имел два голоса[2]. Явка избирателей составила 60,3 %[1].
 Хотя Прогрессивно-консервативная партия получила больше голосов, чем вновь сформированная Демократическая лейбористская партия, она выиграла меньшее количество мест как следствие непропорциональной избирательной системы.
",wikipedia,Wikipedia_new,587,,,,,,,,,0,0.0
"Дизель-электрическая,
 U-84 — средняя немецкая подводная лодка типа VIIB времён Второй мировой войны.
 Заказ на постройку субмарины был отдан 9 июня 1938 года. Лодка была заложена 9 ноября 1939 года на верфи Флендер-Верке, Любек, под строительным номером 280, спущена на воду 26 февраля 1941 года. Лодка вошла в строй 29 апреля 1941 года под командованием оберлейтенанта Хорста Апхоффа.
",U-84 (1941),"Дизель-электрическая,
 U-84 — средняя немецкая подводная лодка типа VIIB времён Второй мировой войны.
 Заказ на постройку субмарины был отдан 9 июня 1938 года. Лодка была заложена 9 ноября 1939 года на верфи Флендер-Верке, Любек, под строительным номером 280, спущена на воду 26 февраля 1941 года. Лодка вошла в строй 29 апреля 1941 года под командованием оберлейтенанта Хорста Апхоффа.
",wikipedia,Wikipedia_new,387,,,,,,,,,0,0.0
"Татья́на Кири́лловна Гера́симова (род. 1963 (1963), Ленинград) — генерал-лейтенант юстиции (2011).
 Окончила юридический факультет Ленинградского государственного университета (ЛГУ) им. Жданова (1987), одновременно с Д. А. Медведевым — его однокурсница[1].
 Трудовую деятельность начала с должности следователя в одном из районных отделов милиции Ленинграда.
","Герасимова, Татьяна Кирилловна","Татья́на Кири́лловна Гера́симова (род. 1963 (1963), Ленинград) — генерал-лейтенант юстиции (2011).
 Окончила юридический факультет Ленинградского государственного университета (ЛГУ) им. Жданова (1987), одновременно с Д. А. Медведевым — его однокурсница[1].
 Трудовую деятельность начала с должности следователя в одном из районных отделов милиции Ленинграда.
",wikipedia,Wikipedia_new,359,,,,,,,,,0,0.0
"«Сны на продажу» (англ. Dreams for Sale) — это второй сегмент второй серии первого сезона первого возрождения американского телесериала «Сумеречная зона».
 Молодая женщина по имени Дженни вместе со своим мужем Полом и двумя маленькими дочерьми решает устроить пикник. Для этого семья выбирает живописную поляну с озером. После того как они начинают готовиться к приятному времяпрепровождению, с женщиной происходят странные вещи: ей кажется, что каждое событие начинает повторяться по несколько раз, кроме этого, события разворачиваются с некоторыми торможениями. Сначала женщина испытывает замешательство, потом её охватывает паника, после чего она будто засыпает. Дальше она просыпается в специальном устройстве для генерирования снов, который, кроме её варианта — «деревенский пикник», содержит ещё такие сны, как «побег из тюрьмы» и «карибский круиз». Сначала Дженни не понимает, что этот пикник является лишь искусственно созданным ради эксперимента прекрасным сном, а также не может понять, где она находится и что происходит вообще. Однако механик, который пришёл, чтобы наладить аппарат, объясняет ей всю суть вещей. Кроме того, что всё это время она жила в виртуальной реальности, оказывается, что повторение событий вызвано серьёзными сбоями в работе устройства, которые, в свою очередь, спровоцированы кислотным дождём. После того как механик настраивает устройство, она повторно погружается в свой сон и «просыпается» снова на пикнике, с мужем и детьми. В момент, когда аппарат окончательно выходит из строя, она спрашивает у своего виртуального мужа, может ли остаться с ним навсегда. Человек дает положительный ответ. После этого механик, который налаживал устройство, констатирует смерть подопытной со словами: «По крайней мере, она умерла счастливой».
",Сны на продажу,"«Сны на продажу» (англ. Dreams for Sale) — это второй сегмент второй серии первого сезона первого возрождения американского телесериала «Сумеречная зона».
 Молодая женщина по имени Дженни вместе со своим мужем Полом и двумя маленькими дочерьми решает устроить пикник. Для этого семья выбирает живописную поляну с озером. После того как они начинают готовиться к приятному времяпрепровождению, с женщиной происходят странные вещи: ей кажется, что каждое событие начинает повторяться по несколько раз, кроме этого, события разворачиваются с некоторыми торможениями. Сначала женщина испытывает замешательство, потом её охватывает паника, после чего она будто засыпает. Дальше она просыпается в специальном устройстве для генерирования снов, который, кроме её варианта — «деревенский пикник», содержит ещё такие сны, как «побег из тюрьмы» и «карибский круиз». Сначала Дженни не понимает, что этот пикник является лишь искусственно созданным ради эксперимента прекрасным сном, а также не может понять, где она находится и что происходит вообще. Однако механик, который пришёл, чтобы наладить аппарат, объясняет ей всю суть вещей. Кроме того, что всё это время она жила в виртуальной реальности, оказывается, что повторение событий вызвано серьёзными сбоями в работе устройства, которые, в свою очередь, спровоцированы кислотным дождём. После того как механик настраивает устройство, она повторно погружается в свой сон и «просыпается» снова на пикнике, с мужем и детьми. В момент, когда аппарат окончательно выходит из строя, она спрашивает у своего виртуального мужа, может ли остаться с ним навсегда. Человек дает положительный ответ. После этого механик, который налаживал устройство, констатирует смерть подопытной со словами: «По крайней мере, она умерла счастливой».
",wikipedia,Wikipedia_new,1768,,,,,,,,,0,0.0
"Соня Робертсон (до замужества — Чик) (англ. Sonia Robertson (Chick); род. 2 июня 1947, Бёрнхем-Маркет[вд], Норфолк) — зимбабвийская баскетболистка и хоккеистка (хоккей на траве), полевой игрок. Олимпийская чемпионка 1980 года.
 Соня Робертсон родилась 2 июня 1947 года в британской деревне Бёрнхем-Маркет в Англии.
 Играла в хоккей на траве за «Солсбери Спортс» из Солсбери[1].
","Робертсон, Соня","Соня Робертсон (до замужества — Чик) (англ. Sonia Robertson (Chick); род. 2 июня 1947, Бёрнхем-Маркет[вд], Норфолк) — зимбабвийская баскетболистка и хоккеистка (хоккей на траве), полевой игрок. Олимпийская чемпионка 1980 года.
 Соня Робертсон родилась 2 июня 1947 года в британской деревне Бёрнхем-Маркет в Англии.
 Играла в хоккей на траве за «Солсбери Спортс» из Солсбери[1].
",wikipedia,Wikipedia_new,378,,,,,,,,,0,0.0
"Заборовье — деревня в Вышневолоцком городском округе Тверской области. 
 Деревня расположена в 34 км на юго-запад от города Вышний Волочек.
 В 1788 году в селе была построена каменная Петропавловская церковь с 3 престолами[2].
",Заборовье (Вышневолоцкий район),"Заборовье — деревня в Вышневолоцком городском округе Тверской области. 
 Деревня расположена в 34 км на юго-запад от города Вышний Волочек.
 В 1788 году в селе была построена каменная Петропавловская церковь с 3 престолами[2].
",wikipedia,Wikipedia_new,227,,,,,,,,,0,0.0
"Смертная казнь в Бутане была отменена 20 марта 2004 года и запрещена Конституцией 2008 года[1]. Запрет смертной казни является одним из основных прав, гарантированных конституцией, и относится ко всем людям в королевстве.
 После проведения реформ первым королём Бутана Угьеном Вангчуком в начале XX века смертная казнь применялась только к убийцам, скрывшимся с места происшествия, и к людям, подделывавшим правительственные документы[2]. В 1992 году был принят Закон о национальной безопасности, согласно которому смертная казнь применялась к лицам, виновным в измене или явно «оказывающим помощь и поддержку врагам» правительства королевства[3].
 5 апреля 1964 года в споре между конкурирующими политическими группировками был убит премьер-министр Джигме Палден Дорджи. Родной дядя короля и главнокомандующий Королевской бутанской армией Намгьял Бахадур был казнён за участие в попытке государственного переворота[4][5].
",Смертная казнь в Бутане,"Смертная казнь в Бутане была отменена 20 марта 2004 года и запрещена Конституцией 2008 года[1]. Запрет смертной казни является одним из основных прав, гарантированных конституцией, и относится ко всем людям в королевстве.
 После проведения реформ первым королём Бутана Угьеном Вангчуком в начале XX века смертная казнь применялась только к убийцам, скрывшимся с места происшествия, и к людям, подделывавшим правительственные документы[2]. В 1992 году был принят Закон о национальной безопасности, согласно которому смертная казнь применялась к лицам, виновным в измене или явно «оказывающим помощь и поддержку врагам» правительства королевства[3].
 5 апреля 1964 года в споре между конкурирующими политическими группировками был убит премьер-министр Джигме Палден Дорджи. Родной дядя короля и главнокомандующий Королевской бутанской армией Намгьял Бахадур был казнён за участие в попытке государственного переворота[4][5].
",wikipedia,Wikipedia_new,923,,,,,,,,,0,0.0
"Коржи — упразднённая деревня, ныне урочище, в Приморско-Куйском сельсовете Заполярного района в Ненецком автономном округе Российской Федерации.
 Деревня находилась на острове Коржа, образованным протоками Куйский Шар и Коржа Шар реки Печоры, примерно в 10 км от административного центра сельсовета посёлка Красное и в 30 км от деревни Никитцы.
 Деревня была основана в 1930-х годах. Первопоселенцами были усть-цилемские крестьяне Аристарх Чупров, Афанасий Пономарёв, которые приехали в урочище со своими семьями. Первое время они жили здесь в землянках, а потом построили дома. В 1936 году в Коржи приехал усть-цилемский крестьянин Павел Шевелев со своей семьей. Основным занятием жителей был рыбный промысел.
",Коржи (Ненецкий автономный округ),"Коржи — упразднённая деревня, ныне урочище, в Приморско-Куйском сельсовете Заполярного района в Ненецком автономном округе Российской Федерации.
 Деревня находилась на острове Коржа, образованным протоками Куйский Шар и Коржа Шар реки Печоры, примерно в 10 км от административного центра сельсовета посёлка Красное и в 30 км от деревни Никитцы.
 Деревня была основана в 1930-х годах. Первопоселенцами были усть-цилемские крестьяне Аристарх Чупров, Афанасий Пономарёв, которые приехали в урочище со своими семьями. Первое время они жили здесь в землянках, а потом построили дома. В 1936 году в Коржи приехал усть-цилемский крестьянин Павел Шевелев со своей семьей. Основным занятием жителей был рыбный промысел.
",wikipedia,Wikipedia_new,711,,,,,,,,,0,0.0
"Ленивец Гоффмана[1] (лат. Choloepus hoffmanni) — один из двух сохранившихся видов двупалых ленивцев. Классифицирован вид в 1858 году и назван в честь немецкого натуралиста Карла Гоффмана.
 Вид распространён от Гондураса и Никарагуа до Перу и центральной Бразилии.
 Длина тела у ленивцев Гоффмана — 54—70 см, масса около 5—7 кг. У него 6—8 шейных позвонков. Цвет шерсти — от тёмно-бурого до желтоватого. Беременность у ленивца Гоффмана длится 11,5 месяцев, рождается один детёныш. Первые 20—25 дней он висит, прицепившись к шерсти на животе матери. В 5 месяцев начинает кормиться самостоятельно, но остаётся с матерью до 2 лет. Наиболее родственный вид — унау (Choloepus didactylus), относящийся также к роду Choloepus.[2]
",Ленивец Гоффмана,"Ленивец Гоффмана[1] (лат. Choloepus hoffmanni) — один из двух сохранившихся видов двупалых ленивцев. Классифицирован вид в 1858 году и назван в честь немецкого натуралиста Карла Гоффмана.
 Вид распространён от Гондураса и Никарагуа до Перу и центральной Бразилии.
 Длина тела у ленивцев Гоффмана — 54—70 см, масса около 5—7 кг. У него 6—8 шейных позвонков. Цвет шерсти — от тёмно-бурого до желтоватого. Беременность у ленивца Гоффмана длится 11,5 месяцев, рождается один детёныш. Первые 20—25 дней он висит, прицепившись к шерсти на животе матери. В 5 месяцев начинает кормиться самостоятельно, но остаётся с матерью до 2 лет. Наиболее родственный вид — унау (Choloepus didactylus), относящийся также к роду Choloepus.[2]
",wikipedia,Wikipedia_new,722,,,,,,,,,0,0.0
"Аборты в Лихтенштейне нелегальны и почти во всех обстоятельствах наказываются тюремным сроком для женщины и врача. Попытка легализации абортов в 2011 году потерпела поражение от избирателей, а в апреле и ноябре 2012 года ландтагу также не удалось продвинуть предложения по либерализации законов об абортах.[1][2]
 Раздел 96 Уголовного кодекса Лихтенштейна 1987 года предусматривает, что аборт является незаконным, за исключением случаев серьёзной опасности для жизни или здоровья женщины, которые могут быть предотвращены только абортом, или в случае, если женщина была моложе 14 лет на время зачатия и не состояла в браке с человеком, оплодотворившим её. Незаконные аборты наказываются тюремным сроком до трёх лет для врача, и до одного года для женщины. Раздел 98 Уголовного кодекса предусматривает дополнительное уголовное наказание за осуществление или поощрение аборта без тщательного расследования его медицинской необходимости, и любого типа продвижение услуг аборта.[3][4]
 На двойном референдуме об абортах 27 ноября 2005 года 81% избирателей отвергли предложение сторонников пролайфа запретить все аборты без исключений.[5][6][7][8]
",Аборты в Лихтенштейне,"Аборты в Лихтенштейне нелегальны и почти во всех обстоятельствах наказываются тюремным сроком для женщины и врача. Попытка легализации абортов в 2011 году потерпела поражение от избирателей, а в апреле и ноябре 2012 года ландтагу также не удалось продвинуть предложения по либерализации законов об абортах.[1][2]
 Раздел 96 Уголовного кодекса Лихтенштейна 1987 года предусматривает, что аборт является незаконным, за исключением случаев серьёзной опасности для жизни или здоровья женщины, которые могут быть предотвращены только абортом, или в случае, если женщина была моложе 14 лет на время зачатия и не состояла в браке с человеком, оплодотворившим её. Незаконные аборты наказываются тюремным сроком до трёх лет для врача, и до одного года для женщины. Раздел 98 Уголовного кодекса предусматривает дополнительное уголовное наказание за осуществление или поощрение аборта без тщательного расследования его медицинской необходимости, и любого типа продвижение услуг аборта.[3][4]
 На двойном референдуме об абортах 27 ноября 2005 года 81% избирателей отвергли предложение сторонников пролайфа запретить все аборты без исключений.[5][6][7][8]
",wikipedia,Wikipedia_new,1143,,,,,,,,,0,0.0
"Этельберт Истрийский (Этельберт Кентский; англ. Æthelbert; убит между 640 и 670) — раннехристианский мученик, святой Римско-католической церкви. Брат мученика Этельреда Истрийского. Память 17 октября (по григорианскому календарю)[1][2].
 Святые Этельберт (англ. Æthelbert; варианты написания Ethelbert, Aedilberct, Ethelbricht) и Этельред, дети Эрменреда и правнуки святого Этельберта Кентского, были злодейски убиты между 640 и 670 годами неким Тунором (англ. Thunor), канцлером короля Эгберта Кентского, в местечке Истри, что неподалёку от города Сэндвича[1][2]. Причина убийства — страх только вступившего на престол Эгберта о притязаниях братьев на корону.
 Впоследствии король Эгберт, осознав свою ответственность за это убийство, основал в знак раскаяния монастырь в Минстере. Сестра короля, святая Эрменбурга (память 19 ноября), стала первой настоятельницей в этом монастыре. Святой Беда Достопочтенный в своих сочинениях этих святых не упоминал. Впоследствии мощи братьев-мучеников были перенесены в местечко Вейкринг, в графстве Эссекс. Окончательно их мощи в монастырь Рамсей (Ramsey), что в Хантингдоншире перенёс святой Освальд (память 28 февраля), где их почитают особо[1].
",Этельберт Истрийский,"Этельберт Истрийский (Этельберт Кентский; англ. Æthelbert; убит между 640 и 670) — раннехристианский мученик, святой Римско-католической церкви. Брат мученика Этельреда Истрийского. Память 17 октября (по григорианскому календарю)[1][2].
 Святые Этельберт (англ. Æthelbert; варианты написания Ethelbert, Aedilberct, Ethelbricht) и Этельред, дети Эрменреда и правнуки святого Этельберта Кентского, были злодейски убиты между 640 и 670 годами неким Тунором (англ. Thunor), канцлером короля Эгберта Кентского, в местечке Истри, что неподалёку от города Сэндвича[1][2]. Причина убийства — страх только вступившего на престол Эгберта о притязаниях братьев на корону.
 Впоследствии король Эгберт, осознав свою ответственность за это убийство, основал в знак раскаяния монастырь в Минстере. Сестра короля, святая Эрменбурга (память 19 ноября), стала первой настоятельницей в этом монастыре. Святой Беда Достопочтенный в своих сочинениях этих святых не упоминал. Впоследствии мощи братьев-мучеников были перенесены в местечко Вейкринг, в графстве Эссекс. Окончательно их мощи в монастырь Рамсей (Ramsey), что в Хантингдоншире перенёс святой Освальд (память 28 февраля), где их почитают особо[1].
",wikipedia,Wikipedia_new,1187,,,,,,,,,0,0.0
"Дадау (Дадав) Магомедов (Магометов) (1863, Кумторкала, Дагестанская область, Российская империя — 1926, Кумторкала, Дагестанская АССР, РСФСР, СССР) — кумыкский народный поэт-импровизатор и исполнитель на агач-кумузе. Первый народный поэт Дагестана. Кустарь по металлу и дереву. Активный участник крестьянского движения 1905, революционный партизан в эпоху Гражданской войны; первый в Дагестане сельский корреспондент. По национальности — кумык.
 С юных лет Магомедов был известен как народный поэт-импровизатор и исполнитель песен на агач-кумузе. Очень рано Магомедов стал известен в округе как редкий мастер по металлу и дереву. Его дореволюционное творчество стоит в одном ряду с творчеством таких дагестанских поэтов-отходников, как Гаджи Ахтынский, Магомед из Тлоха, Азиз Иминагаев и другие. Более известен он стал как революционный певец, песни которого распевались крестьянами, особенно молодежью. Дадав принимал активное участие в крестьянском движении накануне революции 1905 года. В 1917 Магомедов находится в первых рядах революционных борцов, избирается первым председателем сельсовета. Произведения Магомедова в своё время распространялись не только в устной форме, но и в форме прокламаций и революционных листовок. В годы революций и гражданской войны его стихотворения публиковались на страницах большевистской печати, газет «Ишчи халкъ» («Рабочий народ»), «Ал байракъ» («Алое знамя»), а в советское время - на страницах газеты «Ёлдаш» («Товарищ»). Во время разгула белогвардейщины он вместе с партизанами скрывается в горах и лесах. С 1920 года после победы Красной армии и введением в Дагестане советской власти он стал первым в Дагестанской АССР сельским корреспондентом. На протяжении 20 лет в своих песнях Дадав призывал бедноту к борьбе, в дни реакции восхвалял ушедших на каторгу революционеров. Он был известен под псевдонимом «Красный поэт». В период белогвардейского господства на территории Дагестан он вёл подпольную агитацию за решительную борьбу с контрреволюцией, за победу коммунизма. Его песни были близки по содержанию и языку горской бедноте, которая его очень любила. Не будучи членом коммунистической партии, он однако целиком отдался делу коммунизма. Бывший кустарь, потерявший все свое состояние во время гражданской войны, уже больной, вместе со своим сыном Умаром уходит в дальний аул (на реке Сулак), где ведет жестокую борьбу за существование, после чего возвращается в родной аул, чтоб снова петь новые бодрые песни. Двадцатилетие первой русской революции Магомедов считает самой великой радостью своей жизни. Вскоре после этого «светлого дня» — годовщины революции 1905 — Дадав умер. В 1930-е годы был потерян большой сборник стихотворений поэта, предназначенный для издания по инициативе Джелал-эд-Дина Коркмасова. В 1935 году в руководство Союза писателей Дагестана пришёл Юсуп Гереев, которому был передан солидный рукописный том стихотворений и песен Дадава Магомедова. Юсуп Гереев, вдохновленный чтением рукописи и после неоднократной встречи со старшим сыном Дадава Умаром, после ознакомления с семейным архивом Магомедовых на страницах газеты «Дагестанская правда» 6 января 1935 года опубликовал большую статью под названием «Певец из революционной Кумторкалы».
 На основании постановления Совнаркома ДССР от 21 октября 1925 г. под № 4423 Дадаву Магометову было вручено удостоверение, подтверждающее присвоение ему высокого звания народного поэта Дагестана. Удостоверение подписано Председателем Совета Народных Комиссаров Дагестанской АССР Джелал-эд-Диномм Коркмасовым и управляющим Делами Совета Народных Комиссаров Дагестанской АССР[1][2].
","Магомедов, Дадав","Дадау (Дадав) Магомедов (Магометов) (1863, Кумторкала, Дагестанская область, Российская империя — 1926, Кумторкала, Дагестанская АССР, РСФСР, СССР) — кумыкский народный поэт-импровизатор и исполнитель на агач-кумузе. Первый народный поэт Дагестана. Кустарь по металлу и дереву. Активный участник крестьянского движения 1905, революционный партизан в эпоху Гражданской войны; первый в Дагестане сельский корреспондент. По национальности — кумык.
 С юных лет Магомедов был известен как народный поэт-импровизатор и исполнитель песен на агач-кумузе. Очень рано Магомедов стал известен в округе как редкий мастер по металлу и дереву. Его дореволюционное творчество стоит в одном ряду с творчеством таких дагестанских поэтов-отходников, как Гаджи Ахтынский, Магомед из Тлоха, Азиз Иминагаев и другие. Более известен он стал как революционный певец, песни которого распевались крестьянами, особенно молодежью. Дадав принимал активное участие в крестьянском движении накануне революции 1905 года. В 1917 Магомедов находится в первых рядах революционных борцов, избирается первым председателем сельсовета. Произведения Магомедова в своё время распространялись не только в устной форме, но и в форме прокламаций и революционных листовок. В годы революций и гражданской войны его стихотворения публиковались на страницах большевистской печати, газет «Ишчи халкъ» («Рабочий народ»), «Ал байракъ» («Алое знамя»), а в советское время - на страницах газеты «Ёлдаш» («Товарищ»). Во время разгула белогвардейщины он вместе с партизанами скрывается в горах и лесах. С 1920 года после победы Красной армии и введением в Дагестане советской власти он стал первым в Дагестанской АССР сельским корреспондентом. На протяжении 20 лет в своих песнях Дадав призывал бедноту к борьбе, в дни реакции восхвалял ушедших на каторгу революционеров. Он был известен под псевдонимом «Красный поэт». В период белогвардейского господства на территории Дагестан он вёл подпольную агитацию за решительную борьбу с контрреволюцией, за победу коммунизма. Его песни были близки по содержанию и языку горской бедноте, которая его очень любила. Не будучи членом коммунистической партии, он однако целиком отдался делу коммунизма. Бывший кустарь, потерявший все свое состояние во время гражданской войны, уже больной, вместе со своим сыном Умаром уходит в дальний аул (на реке Сулак), где ведет жестокую борьбу за существование, после чего возвращается в родной аул, чтоб снова петь новые бодрые песни. Двадцатилетие первой русской революции Магомедов считает самой великой радостью своей жизни. Вскоре после этого «светлого дня» — годовщины революции 1905 — Дадав умер. В 1930-е годы был потерян большой сборник стихотворений поэта, предназначенный для издания по инициативе Джелал-эд-Дина Коркмасова. В 1935 году в руководство Союза писателей Дагестана пришёл Юсуп Гереев, которому был передан солидный рукописный том стихотворений и песен Дадава Магомедова. Юсуп Гереев, вдохновленный чтением рукописи и после неоднократной встречи со старшим сыном Дадава Умаром, после ознакомления с семейным архивом Магомедовых на страницах газеты «Дагестанская правда» 6 января 1935 года опубликовал большую статью под названием «Певец из революционной Кумторкалы».
 На основании постановления Совнаркома ДССР от 21 октября 1925 г. под № 4423 Дадаву Магометову было вручено удостоверение, подтверждающее присвоение ему высокого звания народного поэта Дагестана. Удостоверение подписано Председателем Совета Народных Комиссаров Дагестанской АССР Джелал-эд-Диномм Коркмасовым и управляющим Делами Совета Народных Комиссаров Дагестанской АССР[1][2].
",wikipedia,Wikipedia_new,3594,,,,,,,,,0,0.0
"Тимофей Сергеевич Вербицкий (1909—1944) — Герой Советского Союза (1944), старший сержант, командир отделения 759-го стрелкового полка (163-я стрелковая дивизия, 38-я армия, 1-й Украинский фронт).
 Родился в крестьянской семье. В 1929 году семья вступила в колхоз. В 1932-35 годах проходил срочную службу в Красной Армии. После армии возвратился на родину. На фронтах Великой Отечественной войны с 1943 года.
 В октябре 1943 года в бою за село Гута-Межигорская заменил убитого командира взвода, решительно повёл взвод в атаку. Лично уничтожил пулемёт и около 25 противников. Это способствовало выполнению задачи батальона.
","Вербицкий, Тимофей Сергеевич","Тимофей Сергеевич Вербицкий (1909—1944) — Герой Советского Союза (1944), старший сержант, командир отделения 759-го стрелкового полка (163-я стрелковая дивизия, 38-я армия, 1-й Украинский фронт).
 Родился в крестьянской семье. В 1929 году семья вступила в колхоз. В 1932-35 годах проходил срочную службу в Красной Армии. После армии возвратился на родину. На фронтах Великой Отечественной войны с 1943 года.
 В октябре 1943 года в бою за село Гута-Межигорская заменил убитого командира взвода, решительно повёл взвод в атаку. Лично уничтожил пулемёт и около 25 противников. Это способствовало выполнению задачи батальона.
",wikipedia,Wikipedia_new,622,,,,,,,,,0,0.0
"Первый в истории Европейский вызов по бегу на 10 000 метров прошёл 5 апреля 1997 года на стадионе «Сан-Висенте» в Баракальдо (Испания). Участники разыграли командный приз в соревнованиях у мужчин и женщин. На старт вышли 54 атлета из 14 стран Европы, из них 31 мужчина и 23 женщины. Каждая страна могла выставить до 5 человек в каждый из двух командных турниров. Победители определялись по сумме результатов 3 лучших участников.
 Первыми победителями Европейского вызова в командном зачёте стали сборные Португалии.
 Курсивом выделены участники, чей результат не пошёл в зачёт команды
",Европейский вызов по бегу на 10 000 метров 1997,"Первый в истории Европейский вызов по бегу на 10 000 метров прошёл 5 апреля 1997 года на стадионе «Сан-Висенте» в Баракальдо (Испания). Участники разыграли командный приз в соревнованиях у мужчин и женщин. На старт вышли 54 атлета из 14 стран Европы, из них 31 мужчина и 23 женщины. Каждая страна могла выставить до 5 человек в каждый из двух командных турниров. Победители определялись по сумме результатов 3 лучших участников.
 Первыми победителями Европейского вызова в командном зачёте стали сборные Португалии.
 Курсивом выделены участники, чей результат не пошёл в зачёт команды
",wikipedia,Wikipedia_new,585,,,,,,,,,0,0.0
"Пьервиллер (фр. Pierrevillers) — коммуна на северо-востоке Франции, регион Гранд-Эст[1] (бывший Эльзас — Шампань — Арденны — Лотарингия), департамент Мозель. Входит в кантон Маранж-Сильванж.
 Пьервиллер расположен в 280 км к востоку от Парижа и в 13 км к северо-западу от Меца.
 По переписи 2011 года в коммуне проживало 1 500 человек.
",Пьервиллер,"Пьервиллер (фр. Pierrevillers) — коммуна на северо-востоке Франции, регион Гранд-Эст[1] (бывший Эльзас — Шампань — Арденны — Лотарингия), департамент Мозель. Входит в кантон Маранж-Сильванж.
 Пьервиллер расположен в 280 км к востоку от Парижа и в 13 км к северо-западу от Меца.
 По переписи 2011 года в коммуне проживало 1 500 человек.
",wikipedia,Wikipedia_new,336,,,,,,,,,0,0.0
