document,question,answer,source,document_type,document_length,question_length,answer_length,answer_to_document_ratio,question_ru,answer_ru,document_ru,question_type
"we present a bootstrapping method to develop an annotated corpus, which is
specially useful for languages with few available resources. the method is
being applied to develop a corpus of spanish of over 5mw. the method consists
on taking advantage of the collaboration of two different pos taggers. the
cases in which both taggers agree present a higher accuracy and are used to
retrain the taggers.",what are the key findings or results of this research?,"the
cases in which both taggers agree present a higher accuracy and are used to
retrain the taggers.",arXiv,Scientific Abstract,399,54,100,0.2506265664160401,Каковы основные выводы или результаты этого исследования?,"- случаи, в которых оба тегера согласны с тем, что они обеспечивают более высокую точность и используются для переподготовки теггеров.","Мы представляем метод опоясывания для разработки аннотированного сборника, который является особенно полезным для языков с ограниченными ресурсами. Этот метод применяется для разработки набора испаноязычного материала более 5 мВт. Этот метод заключается в использовании сотрудничества двух различных озвучителей. В тех случаях, когда оба орлы согласны с более высокой точностью и используются для переподготовки теггеров.",как
"we report on two corpora to be used in the evaluation of component systems
for the tasks of (1) linear segmentation of text and (2) summary-directed
sentence extraction. we present characteristics of the corpora, methods used in
the collection of user judgments, and an overview of the application of the
corpora to evaluating the component system. finally, we discuss the problems
and issues with construction of the test set which apply broadly to the
construction of evaluation resources for language technologies.",what is the main topic of the paper titled 'resources for evaluation of summarization techniques'?,"we report on two corpora to be used in the evaluation of component systems
for the tasks of (1) linear segmentation of text and (2) summary-directed
sentence extraction.",arXiv,Scientific Abstract,517,98,169,0.32688588007736946,"Какова основная тема документа, озаглавленного ""ресурсы для оценки методов суммирования""?","мы сообщаем о двух компонентах, которые будут использоваться при оценке систем компонентов для выполнения задач 1) линейной сегментации текста и 2) извлечения предложения с кратким указанием направления.","мы сообщаем о двух компонентах, которые будут использоваться при оценке систем компонентов для выполнения задач: 1) линейная сегментация текста и 2) извлечение предложения в сжатом виде. Мы представляем характеристики корпорации, методы, используемые при сборе суждений пользователей, и обзор применения Corpora для оценки системы компонентов Наконец, мы обсуждаем проблемы и проблемы, связанные с разработкой испытательного набора, который в целом применим к созданию ресурсов для оценки языковых технологий.",как
"we report on two corpora to be used in the evaluation of component systems
for the tasks of (1) linear segmentation of text and (2) summary-directed
sentence extraction. we present characteristics of the corpora, methods used in
the collection of user judgments, and an overview of the application of the
corpora to evaluating the component system. finally, we discuss the problems
and issues with construction of the test set which apply broadly to the
construction of evaluation resources for language technologies.",what methods or approaches are used in this research?,"we present characteristics of the corpora, methods used in
the collection of user judgments, and an overview of the application of the
corpora to evaluating the component system.",arXiv,Scientific Abstract,517,53,178,0.344294003868472,Какие методы или подходы используются в этих исследованиях?,"Мы представляем характеристики Corpora, методы, используемые при сборе суждений пользователей, и обзор применения Corpora для оценки системы компонентов.","мы сообщаем о двух компонентах, которые будут использоваться при оценке систем компонентов для выполнения задач: 1) линейная сегментация текста и 2) извлечение предложения в сжатом виде. Мы представляем характеристики корпорации, методы, используемые при сборе суждений пользователей, и обзор применения Corpora для оценки системы компонентов Наконец, мы обсуждаем проблемы и проблемы, связанные с разработкой испытательного набора, который в целом применим к созданию ресурсов для оценки языковых технологий.",что/какой
"we report on two corpora to be used in the evaluation of component systems
for the tasks of (1) linear segmentation of text and (2) summary-directed
sentence extraction. we present characteristics of the corpora, methods used in
the collection of user judgments, and an overview of the application of the
corpora to evaluating the component system. finally, we discuss the problems
and issues with construction of the test set which apply broadly to the
construction of evaluation resources for language technologies.",what are the key findings or results of this research?,"finally, we discuss the problems
and issues with construction of the test set which apply broadly to the
construction of evaluation resources for language technologies.",arXiv,Scientific Abstract,517,54,168,0.32495164410058025,Каковы основные выводы или результаты этого исследования?,"Наконец, мы обсуждаем проблемы и проблемы, связанные с разработкой испытательного набора, который в целом применим к созданию ресурсов для оценки языковых технологий.","мы сообщаем о двух компонентах, которые будут использоваться при оценке систем компонентов для выполнения задач: 1) линейная сегментация текста и 2) извлечение предложения в сжатом виде. Мы представляем характеристики корпорации, методы, используемые при сборе суждений пользователей, и обзор применения Corpora для оценки системы компонентов Наконец, мы обсуждаем проблемы и проблемы, связанные с разработкой испытательного набора, который в целом применим к созданию ресурсов для оценки языковых технологий.",как
"this paper argues that an interlingual representation must explicitly
represent some parts of the meaning of a situation as possibilities (or
preferences), not as necessary or definite components of meaning (or
constraints). possibilities enable the analysis and generation of nuance,
something required for faithful translation. furthermore, the representation of
the meaning of words, especially of near-synonyms, is crucial, because it
specifies which nuances words can convey in which contexts.","what is the main topic of the paper titled 'translating near-synonyms: possibilities and preferences in the
  interlingua'?","this paper argues that an interlingual representation must explicitly
represent some parts of the meaning of a situation as possibilities (or
preferences), not as necessary or definite components of meaning (or
constraints).",arXiv,Scientific Abstract,498,123,224,0.4497991967871486,"Какова основная тема документа, озаглавленного ""Переведение почти синонимов: возможности и предпочтения в интерлингуа""?","В настоящем документе утверждается, что межязыковое представительство должно прямо отражать некоторые элементы значения ситуации как возможности (или предпочтения), а не как необходимые или определенные компоненты значения (или ограничения).","В настоящем документе утверждается, что межязыковое представительство должно прямо отражать некоторые элементы значения ситуации как возможности (или предпочтения), а не как необходимые или определенные компоненты смысла (или ограничения). Возможности позволяют анализировать и генерировать нюансы, что необходимо для верного перевода. Кроме того, представление значения слов, особенно почти синонимов, имеет решающее значение, поскольку в нем указывается, какие нюансы могут передаваться в каких контекстах.",как
"this paper argues that an interlingual representation must explicitly
represent some parts of the meaning of a situation as possibilities (or
preferences), not as necessary or definite components of meaning (or
constraints). possibilities enable the analysis and generation of nuance,
something required for faithful translation. furthermore, the representation of
the meaning of words, especially of near-synonyms, is crucial, because it
specifies which nuances words can convey in which contexts.",what methods or approaches are used in this research?,"possibilities enable the analysis and generation of nuance,
something required for faithful translation.",arXiv,Scientific Abstract,498,53,104,0.20883534136546184,Какие методы или подходы используются в этих исследованиях?,"Возможности позволяют анализировать и создавать нюансы, необходимые для верного перевода.","В настоящем документе утверждается, что межязыковое представительство должно прямо отражать некоторые элементы значения ситуации как возможности (или предпочтения), а не как необходимые или определенные компоненты смысла (или ограничения). Возможности позволяют анализировать и генерировать нюансы, что необходимо для верного перевода. Кроме того, представление значения слов, особенно почти синонимов, имеет решающее значение, поскольку в нем указывается, какие нюансы могут передаваться в каких контекстах.",что/какой
"this paper argues that an interlingual representation must explicitly
represent some parts of the meaning of a situation as possibilities (or
preferences), not as necessary or definite components of meaning (or
constraints). possibilities enable the analysis and generation of nuance,
something required for faithful translation. furthermore, the representation of
the meaning of words, especially of near-synonyms, is crucial, because it
specifies which nuances words can convey in which contexts.",what are the key findings or results of this research?,"furthermore, the representation of
the meaning of words, especially of near-synonyms, is crucial, because it
specifies which nuances words can convey in which contexts.",arXiv,Scientific Abstract,498,54,168,0.3373493975903614,Каковы основные выводы или результаты этого исследования?,"Кроме того, решающее значение имеет представление значения слов, особенно почти синонимов, поскольку в нем конкретно указывается, в каких нюансах слова могут передавать контексты.","В настоящем документе утверждается, что межязыковое представительство должно прямо отражать некоторые элементы значения ситуации как возможности (или предпочтения), а не как необходимые или определенные компоненты смысла (или ограничения). Возможности позволяют анализировать и генерировать нюансы, что необходимо для верного перевода. Кроме того, представление значения слов, особенно почти синонимов, имеет решающее значение, поскольку в нем указывается, какие нюансы могут передаваться в каких контекстах.",как
"this paper presents a partial solution to a component of the problem of
lexical choice: choosing the synonym most typical, or expected, in context. we
apply a new statistical approach to representing the context of a word through
lexical co-occurrence networks. the implementation was trained and evaluated on
a large corpus, and results show that the inclusion of second-order
co-occurrence relations improves the performance of our implemented lexical
choice program.","what is the main topic of the paper titled 'choosing the word most typical in context using a lexical co-occurrence
  network'?","this paper presents a partial solution to a component of the problem of
lexical choice: choosing the synonym most typical, or expected, in context.",arXiv,Scientific Abstract,469,127,147,0.31343283582089554,"какова основная тема документа, озаглавленная ""Выбрать слово, наиболее типичное в контексте с использованием lexic co-concurtion Network""?","В настоящем документе представлено частичное решение одного из компонентов проблемы Лексического выбора: выбор синонима, наиболее типичного или ожидаемого, в контексте.","Этот документ представляет собой частичное решение одного из компонентов проблемы lexic option: выбор синонима, наиболее типичного или ожидаемого в контексте. Мы применяем новый статистический подход к представлению контекста слова через lexical co-contract Network. Осуществление было подготовлено и оценено по большому корпусу, и результаты показывают, что включение отношений второго порядка о сопровождении улучшает результативность нашей реализованной программы lexic.",как
"this paper presents a partial solution to a component of the problem of
lexical choice: choosing the synonym most typical, or expected, in context. we
apply a new statistical approach to representing the context of a word through
lexical co-occurrence networks. the implementation was trained and evaluated on
a large corpus, and results show that the inclusion of second-order
co-occurrence relations improves the performance of our implemented lexical
choice program.",what methods or approaches are used in this research?,"we
apply a new statistical approach to representing the context of a word through
lexical co-occurrence networks.",arXiv,Scientific Abstract,469,53,113,0.24093816631130063,Какие методы или подходы используются в этих исследованиях?,мы применяем новый статистический подход к представлению контекста слова через Лексические сети сопровождения.,"Этот документ представляет собой частичное решение одного из компонентов проблемы lexic option: выбор синонима, наиболее типичного или ожидаемого в контексте. Мы применяем новый статистический подход к представлению контекста слова через lexical co-contract Network. Осуществление было подготовлено и оценено по большому корпусу, и результаты показывают, что включение отношений второго порядка о сопровождении улучшает результативность нашей реализованной программы lexic.",что/какой
"this paper presents a partial solution to a component of the problem of
lexical choice: choosing the synonym most typical, or expected, in context. we
apply a new statistical approach to representing the context of a word through
lexical co-occurrence networks. the implementation was trained and evaluated on
a large corpus, and results show that the inclusion of second-order
co-occurrence relations improves the performance of our implemented lexical
choice program.",what are the key findings or results of this research?,"the implementation was trained and evaluated on
a large corpus, and results show that the inclusion of second-order
co-occurrence relations improves the performance of our implemented lexical
choice program.",arXiv,Scientific Abstract,469,54,207,0.44136460554371004,Каковы основные выводы или результаты этого исследования?,"Осуществление было подготовлено и оценено по большому корпусу, и результаты показывают, что включение отношений со вторым порядком улучшает эффективность нашей реализованной программы Лексического выбора.","Этот документ представляет собой частичное решение одного из компонентов проблемы lexic option: выбор синонима, наиболее типичного или ожидаемого в контексте. Мы применяем новый статистический подход к представлению контекста слова через lexical co-contract Network. Осуществление было подготовлено и оценено по большому корпусу, и результаты показывают, что включение отношений второго порядка о сопровождении улучшает результативность нашей реализованной программы lexic.",как
"in this paper we present the results of comparing a statistical tagger for
german based on decision trees and a rule-based brill-tagger for german. we
used the same training corpus (and therefore the same tag-set) to train both
taggers. we then applied the taggers to the same test corpus and compared their
respective behavior and in particular their error rates. both taggers perform
similarly with an error rate of around 5%. from the detailed error analysis it
can be seen that the rule-based tagger has more problems with unknown words
than the statistical tagger. but the results are opposite for tokens that are
many-ways ambiguous. if the unknown words are fed into the taggers with the
help of an external lexicon (such as the gertwol system) the error rate of the
rule-based tagger drops to 4.7%, and the respective rate of the statistical
taggers drops to around 3.7%. combining the taggers by using the output of one
tagger to help the other did not lead to any further improvement.",what is the main topic of the paper titled 'comparing a statistical and a rule-based tagger for german'?,"in this paper we present the results of comparing a statistical tagger for
german based on decision trees and a rule-based brill-tagger for german.",arXiv,Scientific Abstract,994,104,147,0.14788732394366197,"Что является главной темой документа, озаглавленной ""сопоставление статистического и основанного на правилах танцора для немцев""?",В настоящем документе мы представляем результаты сопоставления статистического таггера для немецкого языка на основе деревьев принятия решений и основанного на правилах бурляющего таггера для немца.,"В настоящем документе мы представляем результаты сопоставления статистического таггера для немецкого языка, основанного на деревьях принятия решений, и основанного на правилах бриллианта для немца. Мы использовали один и тот же тренировочный корпус (и, следовательно, тот же набор метков) для обучения обоих теггеров. Затем мы применили теггеры к одному и тому же тестовому корпусу и сравнили их соответствующее поведение и, в частности, показатели их ошибок. Из детального анализа ошибок можно видеть, что патгер, основанный на правилах, имеет больше проблем с неизвестными словами, чем статистический метггер. Но результаты противоположны для символов, которые во многом двусмысленны. Если неизвестные слова вводятся в теггеры с помощью внешнего лексикона (например, системы gerwol), коэффициент ошибок патгера, основанного на правилах, снижается до 4, 7%, а соответствующий коэффициент статистических метки падает примерно до 3, 7%. Объединение теггеров с использованием выпуска одного таггера для оказания помощи другому не привело к каким-либо дальнейшим улучшениям.",что/какой
"in this paper we present the results of comparing a statistical tagger for
german based on decision trees and a rule-based brill-tagger for german. we
used the same training corpus (and therefore the same tag-set) to train both
taggers. we then applied the taggers to the same test corpus and compared their
respective behavior and in particular their error rates. both taggers perform
similarly with an error rate of around 5%. from the detailed error analysis it
can be seen that the rule-based tagger has more problems with unknown words
than the statistical tagger. but the results are opposite for tokens that are
many-ways ambiguous. if the unknown words are fed into the taggers with the
help of an external lexicon (such as the gertwol system) the error rate of the
rule-based tagger drops to 4.7%, and the respective rate of the statistical
taggers drops to around 3.7%. combining the taggers by using the output of one
tagger to help the other did not lead to any further improvement.",what methods or approaches are used in this research?,"we
used the same training corpus (and therefore the same tag-set) to train both
taggers.",arXiv,Scientific Abstract,994,53,88,0.08853118712273642,Какие методы или подходы используются в этих исследованиях?,"Мы использовали один и тот же тренировочный корпус (и, следовательно, один и тот же набор метков) для обучения обоих теггеров.","В настоящем документе мы представляем результаты сопоставления статистического таггера для немецкого языка, основанного на деревьях принятия решений, и основанного на правилах бриллианта для немца. Мы использовали один и тот же тренировочный корпус (и, следовательно, тот же набор метков) для обучения обоих теггеров. Затем мы применили теггеры к одному и тому же тестовому корпусу и сравнили их соответствующее поведение и, в частности, показатели их ошибок. Из детального анализа ошибок можно видеть, что патгер, основанный на правилах, имеет больше проблем с неизвестными словами, чем статистический метггер. Но результаты противоположны для символов, которые во многом двусмысленны. Если неизвестные слова вводятся в теггеры с помощью внешнего лексикона (например, системы gerwol), коэффициент ошибок патгера, основанного на правилах, снижается до 4, 7%, а соответствующий коэффициент статистических метки падает примерно до 3, 7%. Объединение теггеров с использованием выпуска одного таггера для оказания помощи другому не привело к каким-либо дальнейшим улучшениям.",что/какой
"in this paper we present the results of comparing a statistical tagger for
german based on decision trees and a rule-based brill-tagger for german. we
used the same training corpus (and therefore the same tag-set) to train both
taggers. we then applied the taggers to the same test corpus and compared their
respective behavior and in particular their error rates. both taggers perform
similarly with an error rate of around 5%. from the detailed error analysis it
can be seen that the rule-based tagger has more problems with unknown words
than the statistical tagger. but the results are opposite for tokens that are
many-ways ambiguous. if the unknown words are fed into the taggers with the
help of an external lexicon (such as the gertwol system) the error rate of the
rule-based tagger drops to 4.7%, and the respective rate of the statistical
taggers drops to around 3.7%. combining the taggers by using the output of one
tagger to help the other did not lead to any further improvement.",what are the key findings or results of this research?,"combining the taggers by using the output of one
tagger to help the other did not lead to any further improvement.",arXiv,Scientific Abstract,994,54,114,0.11468812877263582,Каковы основные выводы или результаты этого исследования?,Объединение теггеров с использованием выпуска одного таггера для оказания помощи другому не привело к каким-либо дальнейшим улучшениям.,"В настоящем документе мы представляем результаты сопоставления статистического таггера для немецкого языка, основанного на деревьях принятия решений, и основанного на правилах бриллианта для немца. Мы использовали один и тот же тренировочный корпус (и, следовательно, тот же набор метков) для обучения обоих теггеров. Затем мы применили теггеры к одному и тому же тестовому корпусу и сравнили их соответствующее поведение и, в частности, показатели их ошибок. Из детального анализа ошибок можно видеть, что патгер, основанный на правилах, имеет больше проблем с неизвестными словами, чем статистический метггер. Но результаты противоположны для символов, которые во многом двусмысленны. Если неизвестные слова вводятся в теггеры с помощью внешнего лексикона (например, системы gerwol), коэффициент ошибок патгера, основанного на правилах, снижается до 4, 7%, а соответствующий коэффициент статистических метки падает примерно до 3, 7%. Объединение теггеров с использованием выпуска одного таггера для оказания помощи другому не привело к каким-либо дальнейшим улучшениям.",как
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words--binary-parse-structure with headword annotation and
operates in a left-to-right manner --- therefore usable for automatic speech
recognition. the model, its probabilistic parameterization, and a set of
experiments meant to evaluate its predictive power are presented; an
improvement over standard trigram modeling is achieved.",what is the main topic of the paper titled 'expoiting syntactic structure for language modeling'?,"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies.",arXiv,Scientific Abstract,582,97,191,0.3281786941580756,"какова основная тема документа, озаглавленная ""Изучение синтаксической структуры для моделирования языка""?","документ представляет собой языковую модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из слова &quot; история &quot; , что позволяет использовать зависимость на большие расстояния.","В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность каждой совместной последовательности слов - двустворчатой - структуры с аннотацией слов и действует лево-правым образом - и поэтому используется для автоматического распознавания речи. модель, ее вероятностная параметризация и ряд экспериментов, предназначенных для оценки ее прогнозируемой мощности; достигается улучшение по сравнению со стандартной триграммовой моделью.",как
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words--binary-parse-structure with headword annotation and
operates in a left-to-right manner --- therefore usable for automatic speech
recognition. the model, its probabilistic parameterization, and a set of
experiments meant to evaluate its predictive power are presented; an
improvement over standard trigram modeling is achieved.",what methods or approaches are used in this research?,"the model assigns probability to every
joint sequence of words--binary-parse-structure with headword annotation and
operates in a left-to-right manner --- therefore usable for automatic speech
recognition.",arXiv,Scientific Abstract,582,53,205,0.35223367697594504,Какие методы или подходы используются в этих исследованиях?,модель распределяет вероятность каждой последовательной последовательности слов - binary-parse-structure с аннотациями на голове и действует лево-правым образом - и поэтому используется для автоматического распознавания речи.,"В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность каждой совместной последовательности слов - двустворчатой - структуры с аннотацией слов и действует лево-правым образом - и поэтому используется для автоматического распознавания речи. модель, ее вероятностная параметризация и ряд экспериментов, предназначенных для оценки ее прогнозируемой мощности; достигается улучшение по сравнению со стандартной триграммовой моделью.",что/какой
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words--binary-parse-structure with headword annotation and
operates in a left-to-right manner --- therefore usable for automatic speech
recognition. the model, its probabilistic parameterization, and a set of
experiments meant to evaluate its predictive power are presented; an
improvement over standard trigram modeling is achieved.",what are the key findings or results of this research?,"the model, its probabilistic parameterization, and a set of
experiments meant to evaluate its predictive power are presented; an
improvement over standard trigram modeling is achieved.",arXiv,Scientific Abstract,582,54,184,0.3161512027491409,Каковы основные выводы или результаты этого исследования?,"модель, ее вероятностная параметризация и ряд экспериментов, предназначенных для оценки ее прогнозируемой мощности; достигается улучшение по сравнению со стандартной триграммовой моделью.","В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность каждой совместной последовательности слов - двустворчатой - структуры с аннотацией слов и действует лево-правым образом - и поэтому используется для автоматического распознавания речи. модель, ее вероятностная параметризация и ряд экспериментов, предназначенных для оценки ее прогнозируемой мощности; достигается улучшение по сравнению со стандартной триграммовой моделью.",как
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words - binary-parse-structure with headword annotation. the
model, its probabilistic parametrization, and a set of experiments meant to
evaluate its predictive power are presented.",what is the main topic of the paper titled 'a structured language model'?,"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies.",arXiv,Scientific Abstract,430,73,191,0.4441860465116279,"какова основная тема документа, озаглавленная ""структурированная языковая модель""?","документ представляет собой языковую модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из слова &quot; история &quot; , что позволяет использовать зависимость на большие расстояния.","В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность для каждой совместной последовательности слов - двоичной-парезонной структуры с аннотацией слов. В ней представлены модель, ее вероятностная параметризация и набор экспериментов, предназначенных для оценки ее прогнозируемой способности.",как
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words - binary-parse-structure with headword annotation. the
model, its probabilistic parametrization, and a set of experiments meant to
evaluate its predictive power are presented.",what methods or approaches are used in this research?,"the model assigns probability to every
joint sequence of words - binary-parse-structure with headword annotation.",arXiv,Scientific Abstract,430,53,113,0.2627906976744186,Какие методы или подходы используются в этих исследованиях?,Модель присваивает вероятность каждой последовательности слов - двоичный-парс-структура с аннотациями слов.,"В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность для каждой совместной последовательности слов - двоичной-парезонной структуры с аннотацией слов. В ней представлены модель, ее вероятностная параметризация и набор экспериментов, предназначенных для оценки ее прогнозируемой способности.",что/какой
"the paper presents a language model that develops syntactic structure and
uses it to extract meaningful information from the word history, thus enabling
the use of long distance dependencies. the model assigns probability to every
joint sequence of words - binary-parse-structure with headword annotation. the
model, its probabilistic parametrization, and a set of experiments meant to
evaluate its predictive power are presented.",what are the key findings or results of this research?,"the
model, its probabilistic parametrization, and a set of experiments meant to
evaluate its predictive power are presented.",arXiv,Scientific Abstract,430,54,124,0.28837209302325584,Каковы основные выводы или результаты этого исследования?,"Модель, ее вероятностная параметризация и ряд экспериментов, предназначенных для оценки ее прогнозируемой мощности.","В документе представлена языковая модель, которая развивает синтаксическую структуру и использует ее для извлечения значимой информации из истории слова, что позволяет использовать зависимость на расстоянии. Эта модель распределяет вероятность для каждой совместной последовательности слов - двоичной-парезонной структуры с аннотацией слов. В ней представлены модель, ее вероятностная параметризация и набор экспериментов, предназначенных для оценки ее прогнозируемой способности.",как
